title_en;title_nl;accessRights;applicableLegislation;contactPoint_name;contactPoint_email;creator_name;creator_email;creator_identifier;creator_url;description_en;description_nl;identifier;keywords;publisher_name_en;publisher_name_nl;publisher_email;publisher_identifier;publisher_url;theme;numberOfUniqueIndividuals;numberOfRecords
END CURA BOT;END CURA BOT;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. N.M. (Natasha) Appelman - Dijkstra;N.M.Appelman-Dijkstra@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;854;3429
END CURA DIAB;END CURA DIAB;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. E.J.P. (Eelco) de Koning;E.J.P.de_Koning@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;449;2631
END CURA ENTU;END CURA ENTU;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. N.R. (Nienke) Biermasz;N.R.Biermasz@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;719;3111
END PSI DIAB;END PSI DIAB;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. O.M. (Olaf) Dekkers;O.M.Dekkers@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;326;1282
END PSI MEN1;END PSI MEN1;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. O.M. (Olaf) Dekkers;O.M.Dekkers@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;3;9
GYV CURA ARCHIPELAGO;GYV CURA ARCHIPELAGO;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;dr. C.D. (Cor) de Kroon;C.D.de_Kroon@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;18;18
GYV CURA HDFN;GYV CURA HDFN;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;dr. E.J.T. (Joanne) Verweij;E.J.T.Verweij@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;8;0
GYV CURA ZZZ;GYV CURA ZZZ;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;dr. E.J.T. (Joanne) Verweij;E.J.T.Verweij@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;55;130
HAH CURA AITROM;HAH CURA AITROM;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;dr. T.E. (Thijs) van Mens;T.E.van_Mens@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;15;55
HAH CURA BLUE;HAH CURA BLUE;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. H.C.J. (Jeroen) Eikenboom;H.C.J.Eikenboom@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;11;25
