col_name,predicate,language_tag
title_en,dct:title,en
title_nl,dct:title,nl
contactPoint_name,vcard:fn,
contactPoint_email,vcard:hasEmail,
datasets,dcat:dataset,
description_en,dct:description,en
description_nl,dct:description,nl
publisher_name_en,foaf:name,en
publisher_name_nl,foaf:name,nl
publisher_email,foaf:mbox,
publisher_identifier,dct:identifier,
publisher_url,foaf:homepage,
accessRights,dct:accessRights,
applicableLegislation,dcatap:applicableLegislation,
creator_name,foaf:name,
creator_email,foaf:mbox,
creator_identifier,dct:identifier,
creator_url,foaf:homepage,
identifier,dct:identifier,
keywords,dcat:keyword,
theme,dcat:theme,
